timestamp,plant_id,plant_name,latitude,longitude,hub_height_m,capacity_mw,temperature_c,humidity_pct,wind_speed_80m,wind_speed_120m,wind_direction_deg,power_output_mw
2024-01-01 00:00:00,1,Tuppadahalli Wind Farm,14.2,76.433,80,56.1,16.31,47.37,4.024,4.146,232.1,0.7049
2024-01-01 00:00:00,2,Bannur Wind Farm,16.83,75.72,120,78.0,16.7,54.42,4.657,4.736,244.1,0.6585
2024-01-01 00:00:00,3,Jogmatti BSES Wind Farm,14.108,76.391,65,14.0,12.6,59.21,3.106,3.341,246.5,0.0
2024-01-01 00:00:00,4,Bijapur Wind Farm,16.75,75.9,106,50.0,15.75,54.16,3.748,4.314,220.4,0.0
2024-01-01 00:00:00,5,Gadag Wind Farm,15.42,75.62,135,302.4,17.48,56.72,2.733,3.006,236.0,8.9341
2024-01-01 00:00:00,6,Energon Mangoli Wind Farm,16.55,76.2,100,46.0,12.8,54.75,6.316,6.758,245.1,1.9793
2024-01-01 00:00:00,7,Tata Power Wind Project,15.35,75.58,65,50.4,15.96,58.27,2.852,2.42,222.9,0.2904
2024-01-01 00:00:00,8,CLP Wind Farm,16.14,74.83,80,50.0,10.82,51.38,5.18,5.229,219.9,0.3705
2024-01-01 00:30:00,1,Tuppadahalli Wind Farm,14.2,76.433,80,56.1,17.09,52.44,5.298,6.031,230.5,1.0161
2024-01-01 00:30:00,2,Bannur Wind Farm,16.83,75.72,120,78.0,16.07,53.55,4.563,4.789,228.2,0.0
2024-01-01 00:30:00,3,Jogmatti BSES Wind Farm,14.108,76.391,65,14.0,10.7,57.8,7.175,7.669,232.1,0.0
2024-01-01 00:30:00,4,Bijapur Wind Farm,16.75,75.9,106,50.0,16.62,61.86,3.389,3.328,206.8,0.892
2024-01-01 00:30:00,5,Gadag Wind Farm,15.42,75.62,135,302.4,16.82,58.58,2.501,2.744,227.3,4.3434
2024-01-01 00:30:00,6,Energon Mangoli Wind Farm,16.55,76.2,100,46.0,11.97,56.04,4.477,4.615,228.7,0.0
2024-01-01 00:30:00,7,Tata Power Wind Project,15.35,75.58,65,50.4,16.74,60.57,4.868,5.043,207.2,0.0
2024-01-01 00:30:00,8,CLP Wind Farm,16.14,74.83,80,50.0,11.59,50.9,4.156,4.459,219.0,0.7831
2024-01-01 01:00:00,1,Tuppadahalli Wind Farm,14.2,76.433,80,56.1,17.38,49.37,3.635,3.832,246.1,1.546
2024-01-01 01:00:00,2,Bannur Wind Farm,16.83,75.72,120,78.0,16.6,54.32,4.42,4.501,239.2,0.8976
2024-01-01 01:00:00,3,Jogmatti BSES Wind Farm,14.108,76.391,65,14.0,13.04,60.96,5.242,5.526,240.4,0.0401
2024-01-01 01:00:00,4,Bijapur Wind Farm,16.75,75.9,106,50.0,15.91,57.21,1.544,1.583,223.4,0.0
