timestamp,plant_id,plant_type,installed_capacity_mw,generation_mw,generation_p50_mw,ghi_wm2,cloud_cover_pct,temperature_c,wind_speed_ms,wind_direction_deg,humidity_pct,pressure_hpa,latitude,longitude,hub_height_m,thermal_mw,hydro_mw,demand_mw,frequency
2026-05-07 00:00:00,kpcl_shivanasamudra,solar,15.0,0.0,0.024,44.64,41,20.94,1.1240692978418148,325,45,1006,12.3,77.17,0,6429.28,2111.68,12800.94,50.084
2026-05-07 00:15:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0648,27.19,2,20.55,4.153588865764784,190,47,1013,12.3,77.17,0,6161.25,2274.1,13574.63,50.091
2026-05-07 00:30:00,kpcl_shivanasamudra,solar,15.0,0.0,0.1117,40.51,85,20.84,4.327283360100079,240,33,1007,12.3,77.17,0,5832.46,1718.96,12097.59,50.081
2026-05-07 00:45:00,kpcl_shivanasamudra,solar,15.0,0.0,0.1059,36.29,80,20.84,1.7790122711638405,272,68,1005,12.3,77.17,0,5341.5,1880.02,12990.22,50.095
2026-05-07 01:00:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0076,38.61,28,18.89,3.5987093081565398,186,76,1013,12.3,77.17,0,6042.15,2012.98,12737.19,50.047
2026-05-07 01:15:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,12.72,16,18.18,1.1015435161819016,56,52,1012,12.3,77.17,0,6201.21,1944.13,13694.4,50.041
2026-05-07 01:30:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0735,49.22,72,18.54,2.226898475516427,97,64,1010,12.3,77.17,0,6339.24,2036.91,13179.81,49.965
2026-05-07 01:45:00,kpcl_shivanasamudra,solar,15.0,0.0,0.1172,30.85,80,18.8,1.0901118081679257,134,74,1012,12.3,77.17,0,6162.67,1814.59,12211.21,49.909
2026-05-07 02:00:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,13.73,6,17.32,2.2143035204532375,348,79,1005,12.3,77.17,0,5387.09,2083.52,12082.03,49.976
2026-05-07 02:15:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,38.75,89,16.66,3.8314372362156948,243,74,1009,12.3,77.17,0,5900.89,2524.77,12647.85,49.931
2026-05-07 02:30:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0478,15.04,65,17.06,3.414744364378972,255,63,1012,12.3,77.17,0,6304.73,2042.34,11525.02,49.925
2026-05-07 02:45:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,36.43,39,17.2,4.205535914067352,160,77,1005,12.3,77.17,0,6203.7,1683.19,12133.08,49.926
2026-05-07 03:00:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,19.07,41,15.7,4.124156059074711,70,43,1010,12.3,77.17,0,6160.39,2436.24,12754.54,50.095
2026-05-07 03:15:00,kpcl_shivanasamudra,solar,15.0,0.0,0.0,9.31,58,15.81,1.5479561492702927,22,58,1008,12.3,77.17,0,5242.21,2349.86,12401.98,50.041
