timestamp,plant_id,wind_speed_ms,wind_direction_deg,temperature_c,humidity_pct,wind_speed_hub_ms
2017-01-02 00:00:00,KAGGLE_WIND_TURBINE,1.44,146,-1.9444444444444444,85,1.26
2017-01-02 00:00:00,KAGGLE_WIND_TURBINE,6.37,68,-9.722222222222221,91,9.58
2017-01-02 00:00:00,KAGGLE_WIND_TURBINE,4.96,124,-1.2777777777777781,55,8.46
2017-01-02 00:00:00,KAGGLE_WIND_TURBINE,3.21,86,-5.166666666666667,82,7.6
2017-01-02 01:00:00,KAGGLE_WIND_TURBINE,2.06,151,-2.000000000000001,86,3.99
2017-01-02 01:00:00,KAGGLE_WIND_TURBINE,6.46,68,-9.722222222222221,92,9.23
2017-01-02 01:00:00,KAGGLE_WIND_TURBINE,4.97,120,-1.3333333333333326,56,8.43
2017-01-02 01:00:00,KAGGLE_WIND_TURBINE,3.4,88,-5.555555555555555,82,7.92
2017-01-02 02:00:00,KAGGLE_WIND_TURBINE,1.3,148,-2.8888888888888884,91,2.78
2017-01-02 02:00:00,KAGGLE_WIND_TURBINE,6.18,67,-9.61111111111111,92,9.27
2017-01-02 02:00:00,KAGGLE_WIND_TURBINE,5.69,121,-1.2222222222222219,56,9.18
2017-01-02 02:00:00,KAGGLE_WIND_TURBINE,3.81,87,-5.722222222222222,82,8.41
2017-01-02 03:00:00,KAGGLE_WIND_TURBINE,1.3,58,-2.5555555555555562,88,2.69
2017-01-02 03:00:00,KAGGLE_WIND_TURBINE,5.91,62,-9.61111111111111,92,9.08
2017-01-02 03:00:00,KAGGLE_WIND_TURBINE,5.49,123,-1.2222222222222219,58,8.88
2017-01-02 03:00:00,KAGGLE_WIND_TURBINE,3.7,90,-5.722222222222222,85,8.26
2017-01-02 04:00:00,KAGGLE_WIND_TURBINE,2.47,58,-2.6111111111111107,88,4.43
2017-01-02 04:00:00,KAGGLE_WIND_TURBINE,5.88,58,-9.555555555555555,92,8.72
2017-01-02 04:00:00,KAGGLE_WIND_TURBINE,5.19,124,-1.0000000000000004,59,8.36
2017-01-02 04:00:00,KAGGLE_WIND_TURBINE,3.85,81,-5.333333333333334,88,8.5
2017-01-02 05:00:00,KAGGLE_WIND_TURBINE,2.73,66,-2.4444444444444438,90,5.59
2017-01-02 05:00:00,KAGGLE_WIND_TURBINE,6.12,52,-9.61111111111111,92,8.83
2017-01-02 05:00:00,KAGGLE_WIND_TURBINE,4.75,120,-1.0555555555555547,68,7.55
2017-01-02 05:00:00,KAGGLE_WIND_TURBINE,3.59,77,-5.111111111111111,90,8.12
2017-01-02 06:00:00,KAGGLE_WIND_TURBINE,2.1,65,-2.9444444444444446,92,5.82
2017-01-02 06:00:00,KAGGLE_WIND_TURBINE,6.37,48,-9.777777777777779,92,8.98
2017-01-02 06:00:00,KAGGLE_WIND_TURBINE,4.59,110,-0.6666666666666663,72,7.78
2017-01-02 06:00:00,KAGGLE_WIND_TURBINE,3.73,82,-4.555555555555555,91,8.0
2017-01-02 07:00:00,KAGGLE_WIND_TURBINE,3.1,69,-2.000000000000001,91,6.24
2017-01-02 07:00:00,KAGGLE_WIND_TURBINE,6.33,51,-9.88888888888889,92,9.24
2017-01-02 07:00:00,KAGGLE_WIND_TURBINE,4.37,110,-0.3888888888888885,74,7.11
2017-01-02 07:00:00,KAGGLE_WIND_TURBINE,4.01,86,-2.8888888888888884,91,7.91
2017-01-02 08:00:00,KAGGLE_WIND_TURBINE,3.54,74,-1.0000000000000004,88,6.89
2017-01-02 08:00:00,KAGGLE_WIND_TURBINE,5.97,50,-9.944444444444445,92,9.1
2017-01-02 08:00:00,KAGGLE_WIND_TURBINE,3.86,111,-0.3888888888888885,79,6.35
2017-01-02 08:00:00,KAGGLE_WIND_TURBINE,3.81,87,-1.9444444444444444,90,7.31
2017-01-02 09:00:00,KAGGLE_WIND_TURBINE,3.44,82,1.1111111111111112,82,6.01
2017-01-02 09:00:00,KAGGLE_WIND_TURBINE,5.74,49,-9.88888888888889,92,8.77
2017-01-02 09:00:00,KAGGLE_WIND_TURBINE,3.61,104,-0.44444444444444486,87,6.11
